rank,anime,studios
871,Shijou Saikyou no Deshi Kenichi OVA,Brain's Base
706,Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,MAPPA
845,Tokyo Revengers,LIDENFILMS
296,Rurouni Kenshin: Meiji Kenkaku Romantan,Gallop
296,Rurouni Kenshin: Meiji Kenkaku Romantan,Studio Deen
591,Yowamushi Pedal: Grande Road,TMS Entertainment
748,Macross: Do You Remember Love?,Tatsunoko Production
760,xxxHOLiC Movie: Manatsu no Yoru no Yume,Production I.G
189,Saiki Kusuo no ?-nan 2,J.C.Staff
189,Saiki Kusuo no ?-nan 2,Egg Firm
129,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,Production I.G
71,Hajime no Ippo: New Challenger,Madhouse
931,Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,Gonzo
494,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,David Production
866,Non Non Biyori Repeat: Hotaru ga Tanoshinda,SILVER LINK.
790,Kidou Senshi Gundam: Suisei no Majo Season 2,Sunrise
721,Girls & Panzer: Saishuushou Part 1,Actas
24,Kusuriya no Hitorigoto,OLM
24,Kusuriya no Hitorigoto,TOHO animation STUDIO
97,"""Oshi no Ko""",Doga Kobo
103,Kenpuu Denki Berserk,OLM
9,Hunter x Hunter (2011),Madhouse
867,One Piece Film: Gold,Toei Animation
288,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,A-1 Pictures
223,One Piece: Gyojin Tou-hen,Toei Animation
778,Yowamushi Pedal,TMS Entertainment
75,Mushishi,Artland
715,High Score Girl: Extra Stage,J.C.Staff
358,Mahou Shoujo Madoka?Magica Movie 1: Hajimari no Monogatari,Shaft
608,Tsuki ga Kirei,feel.
493,Paripi Koumei,P.A. Works
722,High Score Girl II,J.C.Staff
137,Yuru Camp? Season 2,C-Station
454,Spy x Family Movie: Code: White,Wit Studio
454,Spy x Family Movie: Code: White,CloverWorks
654,BanG Dream! 3rd Season,SANZIGEN
597,Durarara!!x2 Ketsu,Shuka
605,Persona 3 the Movie 4: Winter of Rebirth,A-1 Pictures
557,Overlord IV,Madhouse
782,Yuru Yuri San?Hai!,TYO Animations
589,Toradora!,J.C.Staff
656,Boku no Hero Academia 3rd Season,Bones
59,86 Part 2,A-1 Pictures
510,Gintama°: Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue,Bandai Namco Pictures
29,Kimi no Na wa.,CoMix Wave Films
247,Violet Evergarden: Recollections,Kyoto Animation
652,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,Brain's Base
407,Yojouhan Time Machine Blues,Science SARU
15,Gintama.,Bandai Namco Pictures
508,Akatsuki no Yona OVA,Pierrot
578,Meitantei Conan Movie 08: Ginyoku no Magician,TMS Entertainment
363,Trigun,Madhouse
182,Natsume Yuujinchou Movie: Utsusemi ni Musubu,Shuka
501,One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,Toei Animation
492,Kaze Tachinu,Studio Ghibli
855,Hoozuki no Reitetsu 2nd Season,Studio Deen
304,Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,Shin-Ei Animation
499,One Piece Film: Z,Toei Animation
307,Gin no Saji 2nd Season,A-1 Pictures
458,Dr. Stone: Ryuusui,TMS Entertainment
822,Berserk: Ougon Jidai-hen - Memorial Edition,Studio 4°C
188,Saiki Kusuo no ?-nan,J.C.Staff
188,Saiki Kusuo no ?-nan,Egg Firm
834,Mahoutsukai no Yome Season 2 Part 2,Studio Kafka
753,Kono Oto Tomare!,Platinum Vision
629,Omae Umasou da na,Ajia-do
828,Jormungand: Perfect Order,White Fox
509,Chuunibyou demo Koi ga Shitai! Movie: Take On Me,Kyoto Animation
817,Densetsu Kyojin Ideon: Hatsudou-hen,Sunrise
418,Nomad: Megalo Box 2,TMS Entertainment
52,Kingdom 4th Season,Pierrot
52,Kingdom 4th Season,Studio Signpost
856,JoJo no Kimyou na Bouken (TV),David Production
373,Kaguya-hime no Monogatari,Studio Ghibli
53,Kingdom 5th Season,Pierrot
53,Kingdom 5th Season,Studio Signpost
276,Katanagatari,White Fox
390,Bungou Stray Dogs 3rd Season,Bones
81,Natsume Yuujinchou Shi,Brain's Base
244,Dr. Stone: New World Part 2,TMS Entertainment
752,Kobayashi-san Chi no Maid Dragon,Kyoto Animation
461,Non Non Biyori Nonstop: Bukatsu wo Ganbatta,SILVER LINK.
355,Bocchi the Rock! Movie,CloverWorks
550,Hikaru no Go,Pierrot
265,Romeo no Aoi Sora,Nippon Animation
645,Shadows House 2nd Season,CloverWorks
633,Yuru Camp? Season 3,8bit
853,Free! Eternal Summer: Kindan no All Hard!,Kyoto Animation
853,Free! Eternal Summer: Kindan no All Hard!,Animation Do
311,Koukaku Kidoutai,Production I.G
481,Shokugeki no Souma,J.C.Staff
713,Durarara!!x2 Ten,Shuka
193,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,A-1 Pictures
779,Shingeki no Kyojin Season 2 Movie: Kakusei no Houkou,Wit Studio
486,Gankutsuou,Gonzo
764,Douluo Dalu,Sparkly Key Animation Studio
921,Heartcatch Precure!,Toei Animation
64,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,Pierrot
884,Aishang Ta de Liyou,Red Dog Culture House
237,Versailles no Bara,Tokyo Movie Shinsha
384,Quanzhi Gaoshou Specials,Colored Pencil Animation
77,Odd Taxi,OLM
77,Odd Taxi,P.I.C.S.
688,Wan Sheng Jie,Fenz
688,Wan Sheng Jie,HMCH
796,Overlord,Madhouse
268,Ashita no Joe,Mushi Production
905,Terra e... (TV),Tokyo Kids
905,Terra e... (TV),Minami Machi Bugyousho
160,Mo Dao Zu Shi: Xian Yun Pian,B.CMAY PICTURES
90,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,A-1 Pictures
219,Kizumonogatari I: Tekketsu-hen,Shaft
364,Wu Liuqi: Zui Qiang Fa Xing Shi,Sharefun Studio
354,Blue Lock,8bit
402,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,Toei Animation
460,Lupin III: Cagliostro no Shiro,Tokyo Movie Shinsha
460,Lupin III: Cagliostro no Shiro,Telecom Animation Film
310,Kage no Jitsuryokusha ni Naritakute!,Nexus
98,Hajime no Ippo: Rising,Madhouse
98,Hajime no Ippo: Rising,MAPPA
361,Shoujo Kakumei Utena,J.C.Staff
465,Noragami Aragoto,Bones
581,Kodomo no Omocha (TV),Gallop
971,Uma Musume: Pretty Derby - Road to the Top,CygamesPictures
68,Great Teacher Onizuka,Pierrot
211,3-gatsu no Lion,Shaft
610,xxxHOLiC Shunmuki,Production I.G
580,Sakura-sou no Pet na Kanojo,J.C.Staff
487,Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru,Sunrise
449,Ouran Koukou Host Club,Bones
61,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,Studio Deen
643,Magi: The Labyrinth of Magic,A-1 Pictures
186,Gintama: Yorinuki Gintama-san on Theater 2D,Sunrise
476,Kimetsu no Yaiba: Hashira Geiko-hen,ufotable
632,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,feel.
574,Koukaku Kidoutai: Stand Alone Complex - The Laughing Man,Production I.G
322,Boku no Hero Academia 6th Season,Bones
899,Mahou Shoujo Lyrical Nanoha: The Movie 1st,Seven Arcs
768,Fate/kaleid liner Prisma?Illya Movie: Sekka no Chikai,SILVER LINK.
144,Yakusoku no Neverland,CloverWorks
833,Macross,Tatsunoko Production
591,World Trigger 2nd Season,Toei Animation
949,91 Days,Shuka
149,Ansatsu Kyoushitsu 2nd Season,Lerche
672,ef: A Tale of Melodies.,Shaft
829,Karigurashi no Arrietty,Studio Ghibli
0,Gotcha!,Bones
924,Lupin III vs. Meitantei Conan: The Movie,TMS Entertainment
962,Trigun Stampede,Orange
520,Toki wo Kakeru Shoujo,Madhouse
714,Hanma Baki: Son of Ogre 2nd Season,TMS Entertainment
729,Tennis no Oujisama: Zenkoku Taikai-hen - Final,M.S.C
844,Tennis no Oujisama: Zenkoku Taikai-hen,M.S.C
926,Meitantei Conan Movie 22: Zero no Shikkounin,TMS Entertainment
168,Karakai Jouzu no Takagi-san Movie,Shin-Ei Animation
282,Kuroko no Basket 3rd Season,Production I.G
897,Lupin the IIIrd: Chikemuri no Ishikawa Goemon,Telecom Animation Film
521,Serial Experiments Lain,Triangle Staff
293,Kino no Tabi: The Beautiful World,A.C.G.T.
341,Kobayashi-san Chi no Maid Dragon S,Kyoto Animation
285,Steins;Gate: Oukoubakko no Poriomania,White Fox
815,Darker than Black: Kuro no Keiyakusha Gaiden,Bones
235,Tunshi Xingkong 3rd Season,Sparkly Key Animation Studio
420,K-On!!,Kyoto Animation
599,Fate/stay night: Unlimited Blade Works Prologue,ufotable
127,Zoku Natsume Yuujinchou,Brain's Base
184,Tian Guan Cifu,Haoliners Animation League
391,Fate/strange Fake: Whispers of Dawn,A-1 Pictures
348,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,CloverWorks
659,Fullmetal Alchemist: Brotherhood Specials,Bones
346,Mushoku Tensei II: Isekai Ittara Honki Dasu,Studio Bind
179,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,J.C.Staff
813,Bishoujo Senshi Sailor Moon S,Toei Animation
224,Tensei shitara Slime Datta Ken 2nd Season,8bit
380,Kimetsu no Yaiba: Katanakaji no Sato-hen,ufotable
243,Douluo Dalu 2nd Season,Sparkly Key Animation Studio
280,Natsume Yuujinchou,Brain's Base
819,Gakuen Babysitters,Brain's Base
0,Bleach 20th PV,Pierrot Films
342,Meitantei Conan: Episode One - Chiisaku Natta Meitantei,TMS Entertainment
512,Kidou Senshi Gundam 00,Sunrise
706,Sword Art Online: Progressive Movie - Hoshi Naki Yoru no Aria,A-1 Pictures
405,Wu Liuqi: Anying Suming,Sharefun Studio
405,Wu Liuqi: Anying Suming,AHA Entertainment
359,Mimi wo Sumaseba,Studio Ghibli
70,Natsume Yuujinchou Shichi,Shuka
142,Tian Guan Cifu Special,Haoliners Animation League
162,Rainbow: Nisha Rokubou no Shichinin,Madhouse
913,Soul Eater,Bones
0,Idol,Doga Kobo
228,Girls & Panzer: Saishuushou Part 4,Actas
691,Akagami no Shirayuki-hime 2nd Season,Bones
684,Shokugeki no Souma: San no Sara,J.C.Staff
735,Wotaku ni Koi wa Muzukashii OVA,A-1 Pictures
735,Wotaku ni Koi wa Muzukashii OVA,Lapin Track
0,Alien Stage,LICO
628,Mignon,ABJ COMPANY
301,Tenki no Ko,CoMix Wave Films
294,Major: World Series,SynergySP
588,Saint Seiya: Meiou Hades Juuni Kyuu-hen,Toei Animation
245,Hibike! Euphonium 2,Kyoto Animation
223,One Piece: Gyojin Tou-hen,Toei Animation
519,Tamayura: Sotsugyou Shashin Part 4 - Ashita,TYO Animations
622,Meitantei Conan Movie 03: Seikimatsu no Majutsushi,TMS Entertainment
234,Shinseiki Evangelion,Gainax
234,Shinseiki Evangelion,Tatsunoko Production
106,Jujutsu Kaisen,MAPPA
484,Shen Yin Wangzuo,Shenman Entertainment
872,Tennis no Oujisama: Zenkoku Taikai-hen - Semifinal,M.S.C
427,Yuukoku no Moriarty,Production I.G
226,Baccano!,Brain's Base
378,Ookami to Koushinryou,Imagin
260,Uma Musume: Pretty Derby - Shin Jidai no Tobira,CygamesPictures
403,Vanitas no Karte Part 2,Bones
600,Golden Boy,APPP
827,Ginga Sengoku Gunyuuden Rai,E&G Films
232,Kaze no Tani no Nausicaä,Topcraft
536,Yuusha-Ou GaoGaiGar Final,Sunrise
885,Cool Doji Danshi,Pierrot
387,Senki Zesshou Symphogear XV,Satelight
929,Sayonara Zetsubou Sensei,Shaft
143,Spy x Family,Wit Studio
143,Spy x Family,CloverWorks
299,Yuukoku no Moriarty Part 2,Production I.G
134,Shingeki no Kyojin Season 2,Wit Studio
283,Meitantei Conan Movie 06: Baker Street no Bourei,TMS Entertainment
84,Shingeki no Kyojin Season 3,Wit Studio
582,Koukyoushihen Eureka Seven,Bones
201,Girls Band Cry,Toei Animation
284,Sakamichi no Apollon,Tezuka Productions
284,Sakamichi no Apollon,MAPPA
669,Zombieland Saga Revenge,MAPPA
0,Hololive Alternative,Hololive Production
306,Fate/Zero,ufotable
854,Golden Kamuy,Geno Studio
529,Jigokuraku,MAPPA
434,Fanren Xiu Xian Chuan 3rd Season,Original Force
434,Fanren Xiu Xian Chuan 3rd Season,Wonder Cat Animation
743,Kidou Senshi Gundam Thunderbolt,Sunrise
272,Boku dake ga Inai Machi,A-1 Pictures
579,Meitantei Conan Movie 18: Ijigen no Sniper,TMS Entertainment
743,Kidou Senshi Gundam Thunderbolt: December Sky,Sunrise
45,Monogatari Series: Second Season,Shaft
217,Mahou Shoujo Madoka?Magica,Shaft
464,Major: Message,SynergySP
411,Fate/stay night: Unlimited Blade Works,ufotable
44,Vinland Saga,Wit Studio
530,Kidou Senshi Gundam Unicorn,Sunrise
878,Death Billiards,Madhouse
541,Ginga Eiyuu Densetsu: Arata naru Tatakai no Overture,Kitty Film Mitaka Studio
955,Michiko to Hatchin,Manglobe
616,FLCL,Gainax
616,FLCL,Production I.G
944,Beelzebub,Pierrot Plus
518,Saint Seiya: The Lost Canvas - Meiou Shinwa 2,TMS Entertainment
647,Slayers Next,E&G Films
32,Vinland Saga Season 2,MAPPA
426,No Game No Life: Zero,Madhouse
365,Yubisaki to Renren,Ajia-do
651,Tsumiki no Ie,Oh! Production
763,"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",Kyoto Animation
172,Bungou Stray Dogs 4th Season,Bones
442,Dr. Stone: Stone Wars,TMS Entertainment
755,Meitantei Conan Movie 27: 100-man Dollar no Michishirube,TMS Entertainment
196,Karakai Jouzu no Takagi-san 3,Shin-Ei Animation
823,Crayon Shin-chan Movie 09: Arashi wo Yobu Mouretsu! Otona Teikoku no Gyakushuu,Shin-Ei Animation
256,Fate/stay night: Unlimited Blade Works 2nd Season,ufotable
305,Dr. Stone,TMS Entertainment
385,ReLIFE: Kanketsu-hen,TMS Entertainment
959,Tentai Senshi Sunred 2nd Season,AIC ASTA
784,Bungou Stray Dogs: Dead Apple,Bones
836,School Rumble,Studio Comet
723,Kurenai no Buta,Studio Ghibli
240,Bakuman. 2nd Season,J.C.Staff
151,Chainsaw Man,MAPPA
820,Hidamari Sketch x ???,Shaft
870,Saiunkoku Monogatari,Madhouse
49,Look Back,Studio DURIAN
864,Kotonoha no Niwa,CoMix Wave Films
431,Bungou Stray Dogs 2nd Season,Bones
891,K-On!,Kyoto Animation
677,Haibane Renmei,Radix
436,Girls & Panzer: Saishuushou Part 3,Actas
218,Mahou Shoujo Madoka?Magica Movie 2: Eien no Monogatari,Shaft
839,Yagate Kimi ni Naru,TROYCA
336,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Yakusai-hen,J.C.Staff
410,Chihayafuru,Madhouse
838,Ushio to Tora (TV) 2nd Season,MAPPA
838,Ushio to Tora (TV) 2nd Season,Studio VOLN
369,BanG Dream! It's MyGO!!!!!,SANZIGEN
4,Steins;Gate,White Fox
291,Doukyuusei,A-1 Pictures
58,Hibike! Euphonium 3,Kyoto Animation
259,Tensei shitara Slime Datta Ken 2nd Season Part 2,8bit
389,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,feel.
542,Gintama: Nanigoto mo Saisho ga Kanjin nanode Tashou Senobisuru Kurai ga Choudoyoi,Sunrise
859,Megalo Box,TMS Entertainment
451,Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,Gainax
567,City Hunter 2,Sunrise
877,Carnival Phantasm,Lerche
42,Sen to Chihiro no Kamikakushi,Studio Ghibli
655,Black Clover: Mahou Tei no Ken,Pierrot
132,Gintama. Porori-hen,Bandai Namco Pictures
560,Shokugeki no Souma: Ni no Sara,J.C.Staff
842,Shingeki no Kyojin OVA,Wit Studio
371,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,Madhouse
642,"Komi-san wa, Comyushou desu. 2nd Season",OLM
482,Seirei no Moribito,Production I.G
38,Boku no Kokoro no Yabai Yatsu 2nd Season,Shin-Ei Animation
119,Shouwa Genroku Rakugo Shinjuu,Studio Deen
148,Uchuu Kyoudai,A-1 Pictures
345,Majo no Takkyuubin,Studio Ghibli
116,Haikyuu!! To the Top Part 2,Production I.G
302,Yuru Camp?,C-Station
883,Ie Naki Ko,Madhouse
883,Ie Naki Ko,TMS Entertainment
559,"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su",C2C
665,Saiunkoku Monogatari 2nd Season,Madhouse
114,Kimi no Suizou wo Tabetai,Studio VOLN
452,Xian Ni,BUILD DREAM
466,Tensei shitara Slime Datta Ken,8bit
101,Shin Evangelion Movie:||,Khara
104,Mushishi Zoku Shou: Suzu no Shizuku,Artland
78,Fate/stay night Movie: Heaven's Feel - III. Spring Song,ufotable
943,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,A-1 Pictures
425,Meitantei Conan Movie 20: Junkoku no Nightmare,TMS Entertainment
650,Tokyo Magnitude 8.0,Bones
650,Tokyo Magnitude 8.0,Kinema Citrus
789,Initial D Third Stage,Studio Deen
827,Hanasaku Iroha,P.A. Works
940,Urusei Yatsura 2: Beautiful Dreamer,Pierrot
88,Death Note,Madhouse
516,Ookami to Koushinryou: Merchant Meets the Wise Wolf,Passione
522,Tsurune: Tsunagari no Issha,Kyoto Animation
986,Kara no Kyoukai Movie 4: Garan no Dou,ufotable
146,Mob Psycho 100,Bones
298,Tokyo Godfathers,Madhouse
794,Love Live! The School Idol Movie,Sunrise
279,Luo Xiao Hei Zhan Ji (Movie),HMCH
946,Durarara!! Specials,Brain's Base
153,Nichijou,Kyoto Animation
209,Fruits Basket: Prelude,TMS Entertainment
692,Aria the Benedizione,J.C.Staff
439,Akira,Tokyo Movie Shinsha
73,Tian Guan Cifu Er,Red Dog Culture House
261,Kaijuu 8-gou,Production I.G
28,Violet Evergarden Movie,Kyoto Animation
204,Josee to Tora to Sakana-tachi,Bones
429,Bakuman.,J.C.Staff
675,Bungou Stray Dogs Wan!,Bones
675,Bungou Stray Dogs Wan!,Nomad
757,Nurarihyon no Mago: Sennen Makyou,Studio Deen
147,One Punch Man,Madhouse
83,Shiguang Dailiren II,LAN Studio
542,Gridman Universe,Trigger
863,Kidou Senshi Gundam: Suisei no Majo - Prologue,Sunrise
852,Drifters,Hoods Entertainment
180,Koukaku Kidoutai: Stand Alone Complex,Production I.G
583,Kuroko no Basket,Production I.G
690,5-toubun no Hanayome?,Shaft
865,New Initial D Movie: Legend 3 - Mugen,SANZIGEN
865,New Initial D Movie: Legend 3 - Mugen,LIDENFILMS
563,Uchouten Kazoku 2,P.A. Works
421,Kotarou wa Hitorigurashi,LIDENFILMS
671,Clannad,Kyoto Animation
763,Dead Dead Demons Dededede Destruction (OVA),Production +h.
948,5-toubun no Hanayome Movie,Bibury Animation Studios
445,Horimiya: Piece,CloverWorks
775,Takarajima,Tokyo Movie Shinsha
851,Dragon Ball Daima,Toei Animation
2,Fullmetal Alchemist: Brotherhood,Bones
16,Fruits Basket: The Final,TMS Entertainment
62,Mob Psycho 100 III,Bones
507,Initial D Fifth Stage,SynergySP
496,Kuragehime,Brain's Base
225,Ao no Hako,Telecom Animation Film
414,Hunter x Hunter: Greed Island,Nippon Animation
489,Hinamatsuri,feel.
774,Quanzhi Gaoshou 2,Colored Pencil Animation
676,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka V: Houjou no Megami-hen,J.C.Staff
785,Cike Wu Liuqi,Sharefun Studio
785,Cike Wu Liuqi,AHA Entertainment
251,Psycho-Pass,Production I.G
1,Sousou no Frieren,Madhouse
565,Uma Musume: Pretty Derby Season 2,Studio Kai
843,Space?Dandy,Bones
606,Shijou Saikyou no Deshi Kenichi,TMS Entertainment
747,Macross F Movie 2: Sayonara no Tsubasa,Satelight
747,Macross F Movie 2: Sayonara no Tsubasa,8bit
382,Make Heroine ga Oosugiru!,A-1 Pictures
791,Kimi to Boku. 2,J.C.Staff
714,Eve no Jikan (Movie),Studio Rikka
17,Clannad: After Story,Kyoto Animation
917,Yuru Yuri Nachuyachumi!,TYO Animations
55,Shiguang Dailiren,LAN Studio
800,Kuuchuu Buranko,Toei Animation
393,Horimiya,CloverWorks
742,Kanon (2006),Kyoto Animation
895,Kuroshitsuji: Kishuku Gakkou-hen,CloverWorks
910,Seitokai Yakuindomo* OVA,GoHands
181,Mononoke,Toei Animation
0,Love Me: Kaede to Suzu The Animation,Studio 1st
277,Kemono no Souja Erin,Production I.G
277,Kemono no Souja Erin,Trans Arts
121,Yojouhan Shinwa Taikei,Madhouse
145,Mahou Shoujo Madoka?Magica Movie 3: Hangyaku no Monogatari,Shaft
564,Spy x Family Season 2,Wit Studio
564,Spy x Family Season 2,CloverWorks
587,One Piece Film: Strong World,Toei Animation
20,3-gatsu no Lion 2nd Season,Shaft
587,No Game No Life,Madhouse
903,Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,Brain's Base
903,Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,Marvy Jack
39,Bocchi the Rock!,CloverWorks
95,Cyberpunk: Edgerunners,Trigger
374,Liz to Aoi Tori,Kyoto Animation
901,MF Ghost 2nd Season,Felix Film
54,Ashita no Joe 2,Tokyo Movie Shinsha
109,Doupo Cangqiong: San Nian Zhi Yue,Motion Magic
309,Hotarubi no Mori e,Brain's Base
448,Natsume Yuujinchou: Ishi Okoshi to Ayashiki Raihousha,Shuka
11,Bleach: Sennen Kessen-hen,Pierrot
292,Gintama: Shinyaku Benizakura-hen,Sunrise
797,Plastic Memories,Doga Kobo
792,Log Horizon,Satelight
290,Initial D Final Stage,SynergySP
432,Cardcaptor Sakura,Madhouse
814,Code Geass: Fukkatsu no Lelouch,Sunrise
23,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,Bandai Namco Pictures
257,Uchuu Senkan Yamato 2199,Xebec
257,Uchuu Senkan Yamato 2199,AIC
711,Bleach,Pierrot
60,Dandadan,Science SARU
472,Eizouken ni wa Te wo Dasu na!,Science SARU
800,Les Misérables: Shoujo Cosette,Nippon Animation
533,Ranma ½ (2024),MAPPA
63,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Studio Deen
0,Kaguya-sama wa Kokurasetai: Ultra Romantic Teaser PV - Ishigami Yuu wa Kataritai,A-1 Pictures
339,Haikyuu!! Movie 4: Concept no Tatakai,Production I.G
94,Natsume Yuujinchou Roku,Shuka
13,Kaguya-sama wa Kokurasetai: Ultra Romantic,A-1 Pictures
462,Kaiba,Madhouse
780,Tamako Love Story,Kyoto Animation
275,Given,Lerche
347,Re:Zero kara Hajimeru Isekai Seikatsu,White Fox
161,Pluto,Studio M2
344,Kidou Senshi Gundam: Tekketsu no Orphans 2nd Season,Sunrise
548,Gintama: Dai Hanseikai,Sunrise
455,Toaru Kagaku no Railgun T,J.C.Staff
673,Eve no Jikan,Studio Rikka
551,Kanata no Astra,Lerche
191,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,Kyoto Animation
331,Tonari no Totoro,Studio Ghibli
701,Maoujou de Oyasumi,Doga Kobo
685,Touch,Group TAC
915,Urusei Yatsura (2022) 2nd Season,David Production
831,Kingdom,Pierrot
886,Doraemon (1979),Shin-Ei Animation
0,Kono Koi ni Kizuite The Animation,Seven
511,JoJo no Kimyou na Bouken Part 6: Stone Ocean,David Production
128,Mushishi: Hihamukage,Artland
440,Aria the Natural,HAL Film Maker
300,Shirobako,P.A. Works
370,Berserk: Ougon Jidai-hen III - Kourin,Studio 4°C
515,Mahoutsukai no Yome: Hoshi Matsu Hito,Wit Studio
848,Aria the Avvenire,TYO Animations
937,Owarimonogatari 2nd Season Recaps,Shaft
849,BanG Dream! Film Live 2nd Stage,SANZIGEN
372,Fruits Basket 1st Season,TMS Entertainment
916,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,Lerche
953,Hidamari Sketch x 365,Shaft
830,Kidou Senshi Zeta Gundam,Sunrise
150,Aria the Origination,HAL Film Maker
216,Kono Subarashii Sekai ni Shukufuku wo! 3,Drive
343,Non Non Biyori Movie: Vacation,SILVER LINK.
270,Ginga Eiyuu Densetsu: Die Neue These - Sakubou,Production I.G
547,Boku no Hero Academia 7th Season,Bones
954,Jibaku Shounen Hanako-kun,Lerche
30,Kingdom 3rd Season,Pierrot
30,Kingdom 3rd Season,Studio Signpost
459,Eiga Daisuki Pompo-san,CLAP
873,Undead Girl Murder Farce,Lapin Track
3,One Piece Fan Letter,Toei Animation
612,Akatsuki no Yona,Pierrot
438,Initial D Fourth Stage,A.C.G.T.
935,Noragami Aragoto OVA,Bones
551,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,Ajia-do
395,Asobi Asobase,Lerche
305,Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,Production I.G
945,Dark Gathering,OLM
67,Mo Dao Zu Shi: Wanjie Pian,B.CMAY PICTURES
212,Barakamon,Kinema Citrus
428,Ao Ashi,Production I.G
498,Meitantei Conan Movie 05: Tengoku e no Countdown,TMS Entertainment
734,Vampire Hunter D (2000),Madhouse
879,ef: A Tale of Memories.,Shaft
488,Given Movie 1,Lerche
48,The First Slam Dunk,Toei Animation
48,The First Slam Dunk,DandeLion Animation Studio
197,Major S5,SynergySP
108,Natsume Yuujinchou San,Brain's Base
252,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,White Fox
110,Kizumonogatari II: Nekketsu-hen,Shaft
352,Danshi Koukousei no Nichijou,Sunrise
433,Digimon Adventure: Last Evolution Kizuna,Yumeta Company
883,InuYasha,Sunrise
485,Skip to Loafer,P.A. Works
644,Pui Pui Molcar,Shin-Ei Animation
470,Ginga Eiyuu Densetsu Gaiden,K-Factory
837,Shirokuma Cafe,Pierrot
762,Atarashii Joushi wa Do Tennen,A-1 Pictures
233,Kimetsu no Yaiba: Mugen Ressha-hen,ufotable
107,Kimetsu no Yaiba Movie: Mugen Ressha-hen,ufotable
696,IDOLiSH7 Vibrato,TROYCA
198,Ramayana: The Legend of Prince Rama,Nippon Ramayana Film Co.
408,Yoru wa Mijikashi Arukeyo Otome,Science SARU
