source,target,type
2001,17,undirected
2001,53,undirected
2001,85,undirected
2001,213,undirected
2001,230,undirected
35760,10,undirected
35760,53,undirected
35760,143,undirected
35760,144,undirected
35760,159,undirected
35760,1499,undirected
35760,1557,undirected
40591,17,undirected
40591,143,undirected
40591,1365,undirected
40591,1501,undirected
22135,17,undirected
22135,53,undirected
22135,169,undirected
22135,1411,undirected
1535,29,undirected
1535,1003,undirected
1535,1365,undirected
1535,1791,undirected
28891,53,undirected
28891,143,undirected
28891,166,undirected
28891,757,undirected
28891,1143,undirected
28891,1365,undirected
41084,238,undirected
41084,332,undirected
41084,1551,undirected
41084,1587,undirected
41084,1696,undirected
41084,2095,undirected
41084,2106,undirected
41084,2369,undirected
55791,711,undirected
55791,1365,undirected
55791,1422,undirected
55791,1696,undirected
52701,539,undirected
52701,1261,undirected
52701,1617,undirected
52701,1696,undirected
34591,16,undirected
34591,17,undirected
34591,139,undirected
34591,148,undirected
19647,29,undirected
19647,159,undirected
19647,1003,undirected
36862,238,undirected
36862,332,undirected
36862,1551,undirected
36862,1587,undirected
36862,1677,undirected
36862,1696,undirected
36862,2095,undirected
36862,2106,undirected
36862,2369,undirected
52034,711,undirected
52034,1365,undirected
52034,1422,undirected
52034,1696,undirected
7311,113,undirected
7311,929,undirected
4565,17,undirected
38329,17,undirected
38329,1211,undirected
38329,1333,undirected
38329,1366,undirected
38329,1416,undirected
38329,1500,undirected
38329,1696,undirected
33,29,undirected
33,148,undirected
33,1003,undirected
37991,415,undirected
28957,17,undirected
28957,159,undirected
28957,711,undirected
10379,17,undirected
10379,765,undirected
40748,143,undirected
40748,1143,undirected
40748,1365,undirected
40748,1856,undirected
40748,2260,undirected
40456,17,undirected
40456,1365,undirected
32983,16,undirected
32983,17,undirected
32983,139,undirected
32983,148,undirected
31757,17,undirected
31757,159,undirected
12355,11,undirected
12355,29,undirected
12355,53,undirected
12355,76,undirected
12355,113,undirected
12355,245,undirected
12355,1702,undirected
877,29,undirected
877,1003,undirected
877,1365,undirected
28735,92,undirected
28735,143,undirected
28735,159,undirected
28735,315,undirected
36098,17,undirected
36098,1500,undirected
16498,10,undirected
16498,53,undirected
16498,143,undirected
16498,144,undirected
16498,159,undirected
16498,1557,undirected
7785,53,undirected
7785,113,undirected
7785,169,undirected
7785,245,undirected
7785,517,undirected
7785,577,undirected
7785,757,undirected
7785,769,undirected
437,1850,undirected
437,2550,undirected
170,55,undirected
40776,53,undirected
40776,143,undirected
40776,166,undirected
40776,757,undirected
40776,1143,undirected
40776,1365,undirected
32,16,undirected
32,18,undirected
32,113,undirected
32,166,undirected
32,167,undirected
32,717,undirected
32,1344,undirected
32,1461,undirected
30484,61,undirected
30484,166,undirected
30484,1696,undirected
11741,17,undirected
11741,459,undirected
11741,701,undirected
11741,703,undirected
40417,16,undirected
40417,100,undirected
40417,139,undirected
40417,148,undirected
40417,1284,undirected
40417,2174,undirected
40417,2495,undirected
5300,17,undirected
5300,139,undirected
25777,10,undirected
25777,53,undirected
25777,143,undirected
25777,144,undirected
25777,159,undirected
25777,1499,undirected
25777,1557,undirected
35843,16,undirected
35843,17,undirected
35843,53,undirected
35843,1365,undirected
7472,16,undirected
7472,17,undirected
7472,53,undirected
7472,230,undirected
7472,415,undirected
7472,1365,undirected
40664,775,undirected
12365,111,undirected
12365,1365,undirected
38474,213,undirected
38474,963,undirected
38474,1576,undirected
35839,166,undirected
35839,238,undirected
35839,737,undirected
35839,1334,undirected
35839,1551,undirected
