rank,anime,type,studios
4,Steins;Gate,tv,White Fox
2,Fullmetal Alchemist: Brotherhood,tv,Bones
3,One Piece Fan Letter,,Toei Animation
1,Sousou no Frieren,tv,Madhouse
5,Shingeki no Kyojin Season 3 Part 2,tv,Wit Studio
